,Country,Date,value
77030,Finland,01/01/04,31118.15
77031,Finland,01/01/05,31993.41
77032,Finland,01/01/06,34363.04
77033,Finland,01/01/07,37703.17
77034,Finland,01/01/08,39969.39
77035,Finland,01/01/09,37830.02
77036,Finland,01/01/10,38737.41
77037,Finland,01/01/11,40683.53
77038,Finland,01/01/12,40620.18
77039,Finland,01/01/13,41293.52
77040,Finland,01/01/14,41470.2
77041,Finland,01/01/15,42220.96
77042,Finland,01/01/16,43729.96
77043,Finland,01/01/17,46343.58
77044,France,01/01/90,17540.77
77045,France,01/01/91,18309.47
77046,France,01/01/92,18931.87
77047,France,01/01/93,19175.31
77048,France,01/01/94,19972.18
77049,France,01/01/95,20745.46
77050,France,01/01/96,21331.45
77051,France,01/01/97,22241.41
77052,France,01/01/98,23359.06
77053,France,01/01/99,24307.5
77054,France,01/01/00,26094.25
77055,France,01/01/01,27501.54
77056,France,01/01/02,28523.89
77057,France,01/01/03,28141.46
77058,France,01/01/04,29034
77059,France,01/01/05,30498.58
77060,France,01/01/06,32434.86
77061,France,01/01/07,34088.36
77062,France,01/01/08,35095.26
77063,France,01/01/09,34685.17
77064,France,01/01/10,35900.05
77065,France,01/01/11,37440.64
77066,France,01/01/12,37679.13
77067,France,01/01/13,39523.87
77068,France,01/01/14,40141.59
77069,France,01/01/15,40833.24
77070,France,01/01/16,41942.63
77071,France,01/01/17,44032.9
77072,Germany,01/01/90,19423.02
77073,Germany,01/01/91,20952.37
77074,Germany,01/01/92,21676.68
77075,Germany,01/01/93,21834.09
77076,Germany,01/01/94,22769.2
77077,Germany,01/01/95,23581.18
77078,Germany,01/01/96,24109.59
77079,Germany,01/01/97,24644.53
77080,Germany,01/01/98,25392.58
77081,Germany,01/01/99,26360.15
77082,Germany,01/01/00,27298.11
77083,Germany,01/01/01,28475.88
77084,Germany,01/01/02,29326.91
77085,Germany,01/01/03,29989.99
77086,Germany,01/01/04,31417.36
77087,Germany,01/01/05,31968.47
77088,Germany,01/01/06,34241.77
77089,Germany,01/01/07,36450.82
77090,Germany,01/01/08,38028.77
77091,Germany,01/01/09,37042.45
77092,Germany,01/01/10,39187.4
77093,Germany,01/01/11,42692.52
77094,Germany,01/01/12,43564.15
77095,Germany,01/01/13,45232.2
77096,Germany,01/01/14,47190.77
77097,Germany,01/01/15,47979.48
77098,Germany,01/01/16,49921.33
77099,Germany,01/01/17,52555.93
77100,Greece,01/01/90,13291.05
77101,Greece,01/01/91,13997.43
77102,Greece,01/01/92,14306.92
77103,Greece,01/01/93,14327.03
77104,Greece,01/01/94,14851.09
77105,Greece,01/01/95,15408.69
77106,Greece,01/01/96,16129.25
77107,Greece,01/01/97,17154.13
77108,Greece,01/01/98,18033.52
77109,Greece,01/01/99,18464.73
77110,Greece,01/01/00,19518.91
77111,Greece,01/01/01,20963.56
77112,Greece,01/01/02,22615.94
77113,Greece,01/01/03,23870.16
77114,Greece,01/01/04,25437.27
77115,Greece,01/01/05,25577.52
77116,Greece,01/01/06,28519.54
77117,Greece,01/01/07,29291.92
77118,Greece,01/01/08,30856.01
77119,Greece,01/01/09,30365.4
77120,Greece,01/01/10,28148.42
77121,Greece,01/01/11,26141.32
77122,Greece,01/01/12,25284.46
77123,Greece,01/01/13,26097.87
77124,Greece,01/01/14,26838.46
77125,Greece,01/01/15,26902.53
77126,Greece,01/01/16,27273.93
77127,Greece,01/01/17,28582.85
77128,Hungary,01/01/91,8311.21
77129,Hungary,01/01/92,8243.36
77130,Hungary,01/01/93,8399.63
77131,Hungary,01/01/94,8843.93
77132,Hungary,01/01/95,9176.63
77133,Hungary,01/01/96,9340.53
77134,Hungary,01/01/97,9822.41
77135,Hungary,01/01/98,10411.53
77136,Hungary,01/01/99,10894.75
77137,Hungary,01/01/00,11877.97
77138,Hungary,01/01/01,13230.98
77139,Hungary,01/01/02,14549.59
77140,Hungary,01/01/03,15468.3
77141,Hungary,01/01/04,16245.56
77142,Hungary,01/01/05,17081.77
77143,Hungary,01/01/06,18297.95
77144,Hungary,01/01/07,19030.13
77145,Hungary,01/01/08,20678.68
77146,Hungary,01/01/09,20651.76
77147,Hungary,01/01/10,21534.87
